msa_name,state,pop_growth_score,job_growth_score,vacancy_rate_inv_score,hpi_growth_score,net_migration_score,msa_score,predicted_score
Austin-Round Rock-San Marcos,TX,3.8420757878499723,8.548134791158747,10.0,5.695030741686322,10.0,7.617048264139008,3.8006949424743652
Las Vegas-Henderson-North Las Vegas,NV,3.104055228631948,8.825317177841598,8.39507801850776,5.502445441444746,9.745793804706746,7.1145379342265604,3.2786240577697754
Orlando-Kissimmee-Sanford,FL,3.5527658728767046,7.972323531290257,7.3977021512601695,7.087447326064203,9.50089103202474,7.102225982703215,3.50453782081604
Tampa-St. Petersburg-Clearwater,FL,3.0860389235687915,5.225425347053179,7.178023292700388,8.506693300871678,9.893993395880287,6.778034852014866,3.6077535152435303
Fayetteville-Springdale-Rogers,AR,3.661687218406462,5.962866998209412,8.703499147757917,8.566011265169132,6.576078410818178,6.694028608072221,3.6830787658691406
Huntsville,AL,3.866290695868339,6.366062541509272,9.259701059071581,6.982414530153165,6.368258294459878,6.568545424212448,3.7162373065948486
Jacksonville,FL,3.6883100974322693,4.875381305813335,8.211923044166994,7.3498713797675395,8.143770637874104,6.453851293010849,3.881077527999878
Athens-Clarke County,GA,3.1825501150401756,4.405158810333859,9.452221837519339,7.641966345609571,7.106635567901883,6.3577065352809665,3.46331524848938
Ocala,FL,3.732880318767097,5.312759531153884,7.085995114165165,8.36988744148548,6.962498034488181,6.292804088011962,3.8113389015197754
Savannah,GA,3.4631659115627205,5.255204846663399,7.743994202976971,8.605059184371976,6.3451962891136855,6.28252408693775,3.556983709335327
North Port-Bradenton-Sarasota,FL,3.4202290002049485,6.295659720396593,3.90777055773302,9.415041129006887,8.347659730593847,6.27727202758706,3.6466691493988037
Deltona-Daytona Beach-Ormond Beach,FL,3.3424845364989553,5.284042744532282,6.484538917601576,7.940469391397867,8.26707374600346,6.263721867206828,3.5860302448272705
Lakeland-Winter Haven,FL,3.758796253496406,5.272954257295453,5.861336984404453,8.385478390095841,7.943419466429059,6.244397070344243,3.934067964553833
Missoula,MT,3.317398529200763,4.322987072387938,8.877652947816095,8.461937453912494,6.241679333298391,6.244331067323137,3.4846112728118896
Port St. Lucie,FL,3.418318451384657,5.505921308054906,5.931934687829958,8.883913301319259,7.038235756591017,6.15566470103596,3.594456911087036
Rome,GA,2.8768335457262406,6.137013934428092,8.191904696940405,7.387539685073365,5.8392735468315955,6.086513081799939,2.9846060276031494
Reno,NV,5.227910905136142,4.533931268517869,8.915706809461398,5.189541171171863,6.412678861575555,6.0559538031725655,5.027141094207764
San Antonio-New Braunfels,TX,3.260656810612444,5.270046898336597,8.760581451560832,5.412987095824627,7.284710938728446,5.997796639012589,3.355412721633911
Atlanta-Sandy Springs-Roswell,GA,3.23125507995633,4.913363288743406,9.195370507946215,6.757140315248239,5.669846428009854,5.953395123980809,3.2639570236206055
College Station-Bryan,TX,3.3056378632747654,6.814809093004317,7.27829236782155,5.752393914452924,6.499947586351486,5.930216164981008,3.1717448234558105
Auburn-Opelika,AL,5.418641881738633,5.5417928070475755,6.719796686982313,5.615852912696243,6.314272236490383,5.92207130499103,5.105067253112793
Punta Gorda,FL,3.372338072460778,6.932867007156191,2.886446600608295,9.50522018393791,6.593899051312962,5.858154183095227,3.507982015609741
Killeen-Temple,TX,3.7004240149845886,3.2678855497753703,8.40000761138478,7.57052978544404,6.323968761465486,5.852563144610853,3.779252290725708
Homosassa Springs,FL,3.6847916884796827,4.2858903918247115,5.732584535803415,9.094591174826943,6.2896378216887685,5.817499122524705,3.849871873855591
Sherman-Denison,TX,3.3608311013278462,4.188532552828211,7.555873023557602,7.692788179626626,6.25176896063735,5.809958763595527,3.458061456680298
Palm Bay-Melbourne-Titusville,FL,3.3112535899753666,4.47113098726782,6.489962846943541,8.075198590301595,6.662167828502542,5.801942768598174,3.475332498550415
Waco,TX,4.085819420589263,3.9254926832941903,7.530227071182097,6.8724495117120235,6.434823628072751,5.769762462970065,4.046872615814209
